experiment_name,regime,M,trial,k,raw_to_ref_l2,ref_to_ideal_l2,gap_ratio
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,3,8,5.4526351239588546e-14,0.792336751533327,792336751533.327
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,3,10,5.553657394908079e-14,0.46480045398086567,464800453980.86566
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,3,12,6.976526975669275e-14,0.2693381473021215,269338147302.12152
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,4,2,6.3195533829224615e-15,10.081221954006818,10081221954006.818
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,4,4,5.5044343401909415e-14,5.014242267649319,5014242267649.319
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,4,6,6.323680490947059e-14,2.393176847431824,2393176847431.8237
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,4,8,1.0253502749147678e-13,1.1231267729800503,1123126772980.0503
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,4,10,1.7048129289361645e-13,0.6034866053032246,603486605303.2246
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,4,12,1.4656843174217605e-13,0.30437103359567486,304371033595.67487
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,5,2,2.687055274824488e-14,6.993028296130417,6993028296130.417
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,5,4,1.6835745794717554e-13,3.0986299530025745,3098629953002.5747
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,5,6,3.335936978774267e-13,1.531781190739699,1531781190739.699
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,5,8,2.7096070736845037e-13,0.8083997694515467,808399769451.5468
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,5,10,1.7171791709895826e-13,0.43630974603211925,436309746032.11926
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,5,12,1.65883237825541e-13,0.2107606827935736,210760682793.5736
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,6,2,2.1720997824076784e-14,4.946870877837689,4946870877837.689
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,6,4,1.7628411704503047e-14,2.427974668600385,2427974668600.3853
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,6,6,1.1423021597799878e-13,1.4045647624770754,1404564762477.0754
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,6,8,1.3633746475515898e-13,0.7272598396991157,727259839699.1157
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,6,10,1.9774992218472792e-13,0.37344110629751903,373441106297.51904
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,6,12,1.7215883497090576e-13,0.18534160941345545,185341609413.45544
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,7,2,1.7897243125315353e-13,36.45294269786582,36452942697865.82
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,7,4,2.687160074188626e-13,15.84803173086763,15848031730867.63
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,7,6,4.225154246807089e-13,5.9604388726275666,5960438872627.566
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,7,8,2.0124038539677932e-13,2.565778803881799,2565778803881.799
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,7,10,6.322211305844954e-13,1.2066422016854041,1206642201685.404
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,7,12,7.350828201710385e-13,0.5737610337206264,573761033720.6263
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,8,2,9.832560089881186e-14,53.985992806168426,53985992806168.43
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,8,4,2.2527599011811336e-13,20.484355138961128,20484355138961.13
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,8,6,4.955041391163486e-13,8.308914175140243,8308914175140.243
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,8,8,5.493910105826092e-13,3.582646904073256,3582646904073.256
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,8,10,6.988389098676478e-13,1.8414763299668726,1841476329966.8726
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,8,12,1.4093735561281507e-12,0.9760298036788227,692527399449.8552
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,9,2,8.587229461679784e-14,13.235314062448303,13235314062448.303
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,9,4,2.263362185128432e-13,4.048104785600871,4048104785600.871
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,9,6,3.574994119144897e-13,1.5332294952799304,1533229495279.9304
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,9,8,1.012583436379828e-12,0.5991870188149102,591740885034.7325
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,9,10,3.8991700048541103e-13,0.2670370706720918,267037070672.09183
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,9,12,8.590186294987926e-13,0.13894922683929867,138949226839.29868
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,10,2,1.5122966078741314e-14,5.494566978436356,5494566978436.355
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,10,4,1.4180423030145141e-14,2.1706953754275062,2170695375427.5063
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,10,6,8.694542862077373e-14,0.9312975378751877,931297537875.1876
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,10,8,2.0727002659750573e-13,0.4914795690800484,491479569080.0484
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,10,10,1.0125076812980634e-13,0.27597815451947494,275978154519.4749
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,10,12,4.1906077986310904e-14,0.15887093099019364,158870930990.19363
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,11,2,1.610489026747814e-14,19.522556887212325,19522556887212.324
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,11,4,2.492024433907674e-14,4.86221598196395,4862215981963.95
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,11,6,5.5491982337495125e-14,2.0279817196154437,2027981719615.4438
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,11,8,6.208678341630591e-14,1.050601573524193,1050601573524.193
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,11,10,6.649982165801542e-14,0.6079194789192531,607919478919.2532
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,11,12,1.1644894675738008e-13,0.36079642638332066,360796426383.3207
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,12,2,3.411761666561052e-13,18.74854172118227,18748541721182.27
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,12,4,1.2484764897354961e-12,7.007700490406044,5613001564723.661
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,12,6,3.003168904731554e-13,2.5154403419641915,2515440341964.1914
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,12,8,2.873480936455847e-13,1.1022800615123916,1102280061512.3916
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,12,10,3.762738276669734e-13,0.537686981146739,537686981146.73895
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,12,12,7.827849963095042e-13,0.2830928487128551,283092848712.8551
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,13,2,3.992698848118586e-14,26.720344073858296,26720344073858.297
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,13,4,1.9001819657153213e-13,13.83784798446568,13837847984465.682
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,13,6,4.566955182572721e-13,7.193267915223449,7193267915223.449
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,13,8,5.201478560671465e-13,4.022927354799592,4022927354799.592
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,13,10,7.231969376759475e-13,1.9615347383599333,1961534738359.9333
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,13,12,2.9384775331014015e-13,0.9777881264274382,977788126427.4382
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,14,2,3.318770270812284e-14,6.956158620906236,6956158620906.236
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,14,4,4.153392726575626e-14,3.4777751444573406,3477775144457.341
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,14,6,1.2483718328660075e-13,1.8537185785061399,1853718578506.14
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,14,8,4.271739237917453e-14,0.9623762495669954,962376249566.9955
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,14,10,5.4649798575884646e-14,0.5072659255358016,507265925535.80164
