regime,M,trial,k,segment_i,delta_scale,delta_response_l2,amplification_ratio
uniform_h=1.00,20,4,4,10,1e-05,6.726836247188252e-16,6.726836247188251e-11
uniform_h=1.00,20,4,4,10,0.0001,1.584660162972996e-15,1.5846601629729962e-11
uniform_h=1.00,20,4,4,10,0.001,1.584660162972996e-15,1.5846601629729956e-12
uniform_h=1.00,20,4,6,10,1e-06,6.928222569811436e-16,6.928222569811435e-10
uniform_h=1.00,20,4,6,10,1e-05,1.5960495365049593e-15,1.596049536504959e-10
uniform_h=1.00,20,4,6,10,0.0001,0.0,0.0
uniform_h=1.00,20,4,6,10,0.001,2.3951363217354668e-15,2.395136321735467e-12
uniform_h=1.00,20,4,8,10,1e-06,1.5711118885824567e-15,1.5711118885824568e-09
uniform_h=1.00,20,4,8,10,1e-05,0.0,0.0
uniform_h=1.00,20,4,8,10,0.0001,3.64514581724994e-15,3.6451458172499394e-11
uniform_h=1.00,20,4,8,10,0.001,1.5711118885824567e-15,1.5711118885824565e-12
uniform_h=1.00,20,4,10,10,1e-06,5.426576900993187e-16,5.426576900993187e-10
uniform_h=1.00,20,4,10,10,1e-05,1.4225293269086347e-15,1.4225293269086346e-10
uniform_h=1.00,20,4,10,10,0.0001,3.632694871023592e-15,3.632694871023591e-11
uniform_h=1.00,20,4,10,10,0.001,4.626781871098517e-15,4.6267818710985175e-12
uniform_h=1.00,20,4,12,10,1e-06,0.0,0.0
uniform_h=1.00,20,4,12,10,1e-05,4.404107751188654e-15,4.4041077511886546e-10
uniform_h=1.00,20,4,12,10,0.0001,9.518816000599066e-16,9.518816000599066e-12
uniform_h=1.00,20,4,12,10,0.001,1.2863784639062642e-15,1.2863784639062641e-12
uniform_h=1.00,20,5,2,10,1e-06,0.0,0.0
uniform_h=1.00,20,5,2,10,1e-05,4.965068306494546e-16,4.965068306494546e-11
uniform_h=1.00,20,5,2,10,0.0001,0.0,0.0
uniform_h=1.00,20,5,2,10,0.001,9.930136612989092e-16,9.930136612989092e-13
uniform_h=1.00,20,5,4,10,1e-06,1.6203171603697468e-15,1.6203171603697468e-09
uniform_h=1.00,20,5,4,10,1e-05,0.0,0.0
uniform_h=1.00,20,5,4,10,0.0001,1.6203171603697468e-15,1.6203171603697463e-11
uniform_h=1.00,20,5,4,10,0.001,0.0,0.0
uniform_h=1.00,20,5,6,10,1e-06,0.0,0.0
uniform_h=1.00,20,5,6,10,1e-05,0.0,0.0
uniform_h=1.00,20,5,6,10,0.0001,6.143707791072001e-15,6.143707791072001e-11
uniform_h=1.00,20,5,6,10,0.001,0.0,0.0
uniform_h=1.00,20,5,8,10,1e-06,6.132914596006124e-15,6.1329145960061225e-09
uniform_h=1.00,20,5,8,10,1e-05,3.4755478145461824e-15,3.475547814546182e-10
uniform_h=1.00,20,5,8,10,0.0001,2.1792510737464213e-14,2.1792510737464216e-10
uniform_h=1.00,20,5,8,10,0.001,1.5742031295029404e-14,1.5742031295029406e-11
uniform_h=1.00,20,5,10,10,1e-06,2.102641058071456e-14,2.102641058071456e-08
uniform_h=1.00,20,5,10,10,1e-05,3.971157534476063e-15,3.971157534476063e-10
uniform_h=1.00,20,5,10,10,0.0001,1.8554919204500936e-14,1.8554919204500932e-10
uniform_h=1.00,20,5,10,10,0.001,3.911813362129428e-15,3.911813362129428e-12
uniform_h=1.00,20,5,12,10,1e-06,2.077219750489942e-14,2.077219750489942e-08
uniform_h=1.00,20,5,12,10,1e-05,3.51979440655546e-14,3.5197944065554598e-09
uniform_h=1.00,20,5,12,10,0.0001,3.8518754443558255e-14,3.851875444355825e-10
uniform_h=1.00,20,5,12,10,0.001,0.0,0.0
uniform_h=1.00,20,6,2,10,1e-06,4.449557262054371e-16,4.449557262054371e-10
uniform_h=1.00,20,6,2,10,1e-05,4.449557262054371e-16,4.44955726205437e-11
uniform_h=1.00,20,6,2,10,0.0001,0.0,0.0
uniform_h=1.00,20,6,2,10,0.001,4.449557262054371e-16,4.449557262054371e-13
uniform_h=1.00,20,6,4,10,1e-06,0.0,0.0
uniform_h=1.00,20,6,4,10,1e-05,0.0,0.0
uniform_h=1.00,20,6,4,10,0.0001,0.0,0.0
uniform_h=1.00,20,6,4,10,0.001,6.074362822597921e-16,6.074362822597921e-13
uniform_h=1.00,20,6,6,10,1e-06,0.0,0.0
uniform_h=1.00,20,6,6,10,1e-05,0.0,0.0
uniform_h=1.00,20,6,6,10,0.0001,0.0,0.0
uniform_h=1.00,20,6,6,10,0.001,0.0,0.0
uniform_h=1.00,20,6,8,10,1e-06,0.0,0.0
uniform_h=1.00,20,6,8,10,1e-05,0.0,0.0
uniform_h=1.00,20,6,8,10,0.0001,1.8948898363277858e-15,1.8948898363277857e-11
uniform_h=1.00,20,6,8,10,0.001,1.3472180148700993e-15,1.3472180148700993e-12
uniform_h=1.00,20,6,10,10,1e-06,1.1251497236787377e-15,1.1251497236787377e-09
uniform_h=1.00,20,6,10,10,1e-05,1.888169806069473e-15,1.8881698060694728e-10
uniform_h=1.00,20,6,10,10,0.0001,1.2573000033218179e-15,1.2573000033218177e-11
uniform_h=1.00,20,6,10,10,0.001,2.9917598514680287e-15,2.9917598514680288e-12
uniform_h=1.00,20,6,12,10,1e-06,3.1899069604651687e-15,3.189906960465169e-09
uniform_h=1.00,20,6,12,10,1e-05,5.782642878427077e-16,5.782642878427076e-11
uniform_h=1.00,20,6,12,10,0.0001,2.565195615248601e-15,2.5651956152486007e-11
uniform_h=1.00,20,6,12,10,0.001,1.7586503056865688e-15,1.7586503056865688e-12
uniform_h=1.00,20,7,2,10,1e-06,4.965068306494546e-16,4.965068306494547e-10
uniform_h=1.00,20,7,2,10,1e-05,0.0,0.0
uniform_h=1.00,20,7,2,10,0.0001,1.1102230246251565e-16,1.1102230246251565e-12
uniform_h=1.00,20,7,2,10,0.001,0.0,0.0
uniform_h=1.00,20,7,4,10,1e-06,3.4994321755659503e-15,3.4994321755659504e-09
uniform_h=1.00,20,7,4,10,1e-05,3.4994321755659503e-15,3.499432175565949e-10
uniform_h=1.00,20,7,4,10,0.0001,3.4994321755659503e-15,3.49943217556595e-11
uniform_h=1.00,20,7,4,10,0.001,2.0844880780498704e-15,2.0844880780498705e-12
uniform_h=1.00,20,7,6,10,1e-06,1.0799032483770494e-14,1.0799032483770495e-08
uniform_h=1.00,20,7,6,10,1e-05,7.200258536120153e-15,7.200258536120152e-10
uniform_h=1.00,20,7,6,10,0.0001,1.0799032483770494e-14,1.0799032483770493e-10
uniform_h=1.00,20,7,6,10,0.001,1.3288059729784753e-14,1.3288059729784752e-11
uniform_h=1.00,20,7,8,10,1e-06,1.5754021687472022e-14,1.5754021687472024e-08
uniform_h=1.00,20,7,8,10,1e-05,6.627439241870856e-15,6.627439241870855e-10
uniform_h=1.00,20,7,8,10,0.0001,1.5754021687472022e-14,1.575402168747202e-10
uniform_h=1.00,20,7,8,10,0.001,1.5754021687472022e-14,1.5754021687472022e-11
uniform_h=1.00,20,7,10,10,1e-06,0.0,0.0
uniform_h=1.00,20,7,10,10,1e-05,1.7841443983863498e-14,1.7841443983863497e-09
uniform_h=1.00,20,7,10,10,0.0001,2.5980393765345225e-14,2.598039376534522e-10
uniform_h=1.00,20,7,10,10,0.001,2.3764207302111984e-14,2.3764207302111982e-11
uniform_h=1.00,20,7,12,10,1e-06,2.3389849349803058e-14,2.3389849349803055e-08
