regime,trial,curve,slope,r2,final_coef_error,final_match_error,final_cost_rel
bounded_0.9_1.1,1,ideal,-1.2149135971850382,0.7099598149934316,5.598683590324664e-13,nan,1.1546319456101628e-14
bounded_0.9_1.1,1,B,-0.1293334444083097,0.9380430304168336,16.93057925333409,16.93057925333408,0.248182672596434
bounded_0.9_1.1,1,C,-0.32253389149237915,0.9973653182699458,0.026371830398408444,0.02637183039825643,0.001993594482249117
bounded_0.9_1.1,2,ideal,-1.1626122386173583,0.7065485425940683,1.1787042894585301e-12,nan,2.731148640577885e-14
bounded_0.9_1.1,2,B,-0.13419107095264976,0.9300822498454633,13.622223954646415,13.622223954646396,0.08018536216878003
bounded_0.9_1.1,2,C,-0.3325682800018115,0.9968114218369825,0.020801598335275468,0.020801598334571535,-0.00027186423266223336
bounded_0.9_1.1,3,ideal,-1.2621019886142895,0.7433329812836647,4.0556197705449805e-13,nan,6.217248937900877e-15
bounded_0.9_1.1,3,B,-0.13121688952461064,0.9747328101241793,18.86831096972024,18.868310969720238,0.39331222769349417
bounded_0.9_1.1,3,C,-0.32175626219131753,0.9976051587834606,0.025380002908190494,0.02538000290810947,0.002726588832477894
bounded_0.5_2.0,0,ideal,-1.2301489320910028,0.7120092042607393,4.341621859705437e-13,nan,-5.440092820663267e-15
bounded_0.5_2.0,0,B,-0.13059876776852478,0.7190610268657168,23.759349506670826,23.759349506670834,0.5974092146317371
bounded_0.5_2.0,0,C,-0.3150858762301672,0.9933235207369718,0.010633307702935886,0.01063330770291028,-0.00012076456656640033
bounded_0.5_2.0,1,ideal,-1.1364797218148623,0.68108256163992,1.2976759812712297e-12,nan,1.2878587085651816e-14
bounded_0.5_2.0,1,B,-0.1445952105122561,0.8159466024082214,39.96468772464799,39.96468772464799,0.12187967342151884
bounded_0.5_2.0,1,C,-0.3280583263893077,0.9971627750295888,0.03116524613914594,0.031165246139248995,0.0002805214569254755
bounded_0.5_2.0,2,ideal,-1.1852130790236144,0.6892913637877733,4.570052488043172e-13,nan,-1.0413891970983968e-13
bounded_0.5_2.0,2,B,-0.11327105959905155,0.8304880682749559,26.673679809773898,26.67367980977391,0.8386448014586152
bounded_0.5_2.0,2,C,-0.32059953082237747,0.9987777652653667,0.0104091322842437,0.010409132284271337,-0.0004094666757903376
bounded_0.5_2.0,3,ideal,-1.2415998592117155,0.7308309484454439,3.9321213040944265e-13,nan,7.993605777301127e-15
bounded_0.5_2.0,3,B,-0.09672902474265832,0.8671314696771242,64.41978306252055,64.41978306252055,0.9113330908828459
bounded_0.5_2.0,3,C,-0.3074377166083992,0.9992529583671307,0.015426542883121204,0.015426542883123185,-0.00011047181293499797
bounded_0.2_3.0,0,ideal,-1.2647435164589496,0.7503820052401857,6.230577874230805e-13,nan,-4.6629367034256575e-15
bounded_0.2_3.0,0,B,-0.14828233125100007,0.8597006427400414,102.75486352190202,102.75486352190202,2.5599427773207477
bounded_0.2_3.0,0,C,-0.33557558349809163,0.9941861125755181,0.01343172463903383,0.013431724639064207,-0.0029593643509507883
bounded_0.2_3.0,1,ideal,-1.2788677970667843,0.7539646592640185,6.756999544004185e-13,nan,1.0347278589506459e-13
bounded_0.2_3.0,1,B,-0.1312184429790732,0.8021557839401554,217.45893801293985,217.45893801293985,4.642398935580714
bounded_0.2_3.0,1,C,-0.3193323676447336,0.9934199102823689,0.015827897862295583,0.015827897862319393,-0.001198649132076457
bounded_0.2_3.0,2,ideal,-1.1954292770985089,0.6409192262809926,3.1984820692711127e-14,nan,7.549516567451064e-15
bounded_0.2_3.0,2,B,-0.12211027513576314,0.961384927806178,12.207523796120089,12.207523796120089,0.47569498111633424
bounded_0.2_3.0,2,C,-0.33502940832376293,0.9991301181215552,0.004598611500441456,0.004598611500440966,0.0001668847769962234
bounded_0.2_3.0,3,ideal,-1.2013824042306565,0.701105805955528,7.788661809916897e-13,nan,-2.708944180085382e-14
bounded_0.2_3.0,3,B,-0.15494407481999842,0.9576786648175818,701.3405992285186,701.3405992285185,2.164434085824402
bounded_0.2_3.0,3,C,-0.3146044246708641,0.998489954262192,0.036334866027053214,0.036334866027047455,0.00023137012431440063
